Form Number,Form Title,Page URL,Fileable Online,Short Description,Long Description,File Name,File URL,Extra Files
G-28I,Notice of Entry of Appearance as Attorney in Matters Outside the Geographical Confines of the United States,https://www.uscis.gov/g-28i,False,,Use this form to provide notice that an attorney admitted to practice of the law in a country other than the United States seeks to appear before DHS in a matter outside the geographical confines of the United States.,g-28i.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-28i.pdf,{'g-28iinstr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-28iinstr.pdf'}
G-325A,Biographic Information (for Deferred Action),https://www.uscis.gov/g-325a,False,,"Use this form to provide biographic information when submitting a request for deferred action for certain military service members and their family members, or for non-military deferred action (other than deferred action based on Deferred Action for Childhood Arrivals (DACA), Violence Against Women Act, A-3, G-5 nonimmigrants, and T and U nonimmigrant visas). ",g-325a.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-325a.pdf,{'g-325ainstr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-325ainstr.pdf'}
G-845,Verification Request,https://www.uscis.gov/g-845,False,,"Use this form to verify an applicant’s immigration status when they are applying for federal, state, or local public benefits and licenses.",g-845.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-845.pdf,{'g-845instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-845instr.pdf'}
G-845 Supplement,Verification Request,https://www.uscis.gov/g-845-supplement,False,,"Use this form to request detailed information on an individual’s immigration status, citizenship, and sponsorship.",g-845sup.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-845sup.pdf,{'g-845supinstr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-845supinstr.pdf'}
G-884,Request for the Return of Original Documents,https://www.uscis.gov/g-884,False,,Use this form to request that USCIS return original documents that you submitted to establish eligibility for an immigration benefit.,g-884.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-884.pdf,{'g-884instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-884instr.pdf'}
I-102,Application for Replacement/Initial Nonimmigrant Arrival-Departure Document,https://www.uscis.gov/i-102,False,,"Use this form if you are a nonimmigrant and need to apply for a new or replacement Form I-94 or Form I-95, Nonimmigrant Arrival-Departure Document.",i-102.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-102.pdf,{'i-102instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-102instr.pdf'}
I-129,Petition for a Nonimmigrant Worker,https://www.uscis.gov/i-129,False,,"ALERT: Important Filing Deadline Information for FY2025 H-1B Cap Subject Petitions The deadline for filing H-1B cap subject petitions online, based on a valid registration selection notice, is June 30, 2024. Because June 30 falls on a Sunday, consistent with USCIS policy, USCIS will consider properly filed paper H-1B cap subject petitions received at a USCIS Lockbox Facility on July 1, 2024, as timely filed (i.e., USCIS will consider the paper-filed H-1B petitions to have been received on June 30). ALERT: At intake, we determine whether the payment you submitted matches the correct fees due. If you do not submit the correct fee, we must reject your form, even if you have submitted an overpayment. The required fees for Form I-129, Form I-129CW, and Form I-140 depend on how you answer the form’s questions about your status as a nonprofit or small employer. See our Web Alert for more information: USCIS Reminds Certain Employment-Based Petitioners to Submit the Correct Required Fees. You can find additional filing fee information by visiting our Filing Fees page, our Form G-1055, Fee Schedule, and our Frequently Asked Questions on the USCIS Fee Rule page. ALERT: As of April 1, 2024, USCIS service centers are no longer accepting Form I-129 petitions requesting H-1B or H-1B1 (HSC) classification. We will reject H-1B or H-1B1 (HSC) petitions received at a USCIS service center on or after April 1, 2024. There will be no grace period provided. As of April 1, 2024, all paper-filed Form I-129 petitions requesting H-1 or H-1B1 (HSC) classification, including those with a concurrent Form I-907, Request for Premium Processing Service, and those with concurrently filed Form I-539 and/or Form I-765, must be filed at a USCIS lockbox facility. You can find the lockbox filing addresses for paper-filed forms on our Form I-129 Direct Filing Addresses page. If you are filing Form I-129 alone or with Form I-907, you may also file online. On March 25, USCIS launched online filing of Form I-129 and associated Form I-907 for non-cap H-1B petitions. On April 1, USCIS began accepting online filing for H-1B cap petitions and associated Forms I-907 for petitioners whose registrations have been selected. To file online, visit myaccount.uscis.gov. In addition, on Feb. 28, 2024, USCIS launched new USCIS organizational accounts that allow multiple people within a company and their legal representatives to collaborate and prepare H-1B registrations, online H-1B petitions, and associated online requests for premium processing. ALERT: If you are an H-1B or an L-1 nonimmigrant and your dependent spouse or child is applying for an extension of their existing H-4 or L-2 status, or a change of status to H-4 or L-2, we will adjudicate your dependent spouse or child’s application together with your Form I-129 if the Form I-539 is packaged together with and properly filed at the same time and in the same location as your Form I-129. This means that an officer will review the H-4 or L-2 derivative’s Form I-539 after reviewing the principal’s Form I-129 and will take appropriate adjudicative action (that is, issue an approval, denial, RFE, NOID or refer for an investigation) after that adjudicative review. This includes a Form I-765 filed by your dependent spouse for an employment authorization document based on H-4 or L-2 status, as applicable. If your dependent’s associated applications are not properly submitted together with your Form I-129, we will adjudicate them separately. Petitioners use this form to file on behalf of a nonimmigrant worker to come to the United States temporarily to perform services or labor, or to receive training, as an H-1B, H-2A, H-2B, H-3, L-1, O-1, O-2, P-1, P-1S, P-2, P-2S, P-3, P-3S, Q-1 or R-1 nonimmigrant worker. Petitioners may also use this form to request an extension of stay in or change of status to E-1, E-2, E-3, H-1B1 or TN, or one of the above classifications for a noncitizen. File Online ",i-129.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-129.pdf,"{'m-1097.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/m-1097.pdf', 'm-746.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/m-746.pdf', 'i-129instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-129instr.pdf', 'm-1087.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/m-1087.pdf', 'm-735.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/m-735.pdf', 'm-736.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/m-736.pdf'}"
I-129CW,Petition for a CNMI-Only Nonimmigrant Transitional Worker,https://www.uscis.gov/i-129cw,False,,"ALERT: At intake, we determine whether the payment you submitted matches the correct fees due. If you do not submit the correct fee, we must reject your form, even if you have submitted an overpayment. The required fees for Form I-129, Form I-129CW, and Form I-140 depend on how you answer the form’s questions about your status as a nonprofit or small employer. See our Web Alert for more information: USCIS Reminds Certain Employment-Based Petitioners to Submit the Correct Required Fees. You can find additional filing fee information by visiting our Filing Fees page, our G-1055, Fee Schedule, and our Frequently Asked Questions on the USCIS Fee Rule page. An employer uses this form to petition for a noncitizen employee who is ineligible for another employment-based nonimmigrant classification to work as a nonimmigrant in the Commonwealth of the Northern Mariana Islands (CNMI) temporarily as a CW-1, CNMI-only transitional worker.",i-129cw.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-129cw.pdf,{'i-129cwinstr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-129cwinstr.pdf'}
I-129CWR,Semiannual Report for CW-1 Employers,https://www.uscis.gov/i-129cwr,False,,"An employer of an approved Form I-129CW, Petition for Commonwealth of Northern Mariana Islands (CNMI) Only Transitional Worker (CW-1), uses Form I-129CWR to verify the continued employment and payment of each worker under the terms and conditions of the approved petition. During the validity of the petition, employers are required to file this report with USCIS every six months after the petition validity start date. USCIS may revoke the employer’s approved petition or deny their future petitions if they do not comply with the reporting requirement.",i-129cwr.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-129cwr.pdf,{'i-129cwrinstr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-129cwrinstr.pdf'}
I-129F,Petition for Alien Fiancé(e),https://www.uscis.gov/i-129f,False,,"Alert: Before sending your package to USCIS, make sure that all the forms you have completed are the current acceptable edition. USCIS published new editions for most forms on April 1, 2024. If you downloaded or printed your forms before April 1, you should verify the current edition date, because we will no longer accept a prior edition. The current acceptable edition can be found under the Edition Date section listed on each form’s webpage. You can also find the edition date at the bottom of the page on the form and instructions. For each form that you are submitting, make sure that all pages are from the same form edition. If any of the form’s pages are from a different form edition, we may reject your form. Watch USCIS Forms: Download the most recent version! to see how to ensure your form is acceptable. For additional guidance on filing paper-based forms at the Lockbox and how to avoid or correct common errors before you file, please visit the Five Steps to File at the USCIS Lockbox webpage. Use this form to petition to bring your: How to Report Suspected Marriage FraudU.S. Immigration and Customs Enforcement (ICE) has an online tip form to report suspected benefit/marriage fraud or other violations. Help for Immigration Crime VictimsDifferent types of support are available through ICE’s Victims of Immigration Crime Engagement (VOICE) Office.",i-129f.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-129f.pdf,{'i-129finstr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-129finstr.pdf'}
I-129S,Nonimmigrant Petition Based on Blanket L Petition,https://www.uscis.gov/i-129s,False,,"Use this form to classify noncitizen employees as L-1 nonimmigrant intracompany transferees (executives, managers, or specialized knowledge professionals) under a previously approved blanket L petition.",i-129s.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-129s.pdf,{'i-129sinstr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-129sinstr.pdf'}
I-130,Petition for Alien Relative,https://www.uscis.gov/i-130,False,,"Alert: If you are filing Form I-130 on behalf of your Afghan national relative whose country of birth in Part 4, Item 7, is not Afghanistan, please write “OAW” at the top of your Form I-130 to be considered for a fee exemption that is effective through Sept. 30, 2024. For those petitioners that wish to be considered for the fee exemption and whose Afghan national relative was not born in Afghanistan, you cannot submit your petition online. You must complete a paper version of Form I-130 (PDF, 715.81 KB) and follow the instructions for filing the Form I-130 by mail (paper). Use this form if you (the petitioner) are a U.S. citizen, lawful permanent resident, or U.S. national and you need to establish your qualifying relationship with an eligible relative (the beneficiary) who wishes to come to or stay in the United States permanently and apply for the Permanent Resident Card (also called a Green Card). You must select only 1 option for Part 4 (Question 61 or 62) to indicate whether the beneficiary will seek adjustment of status inside the United States or consular processing abroad. Do not complete both questions, and do not leave this section blank. File Online Processing Information Submitting Form I-130, Petition for Alien Relative, is the first step to help an eligible relative apply to immigrate to the United States and apply for a Green Card. The filing or approval of this petition does not give your relative any immigration status or benefit. We will generally approve your Form I-130 if you can establish a qualifying relationship between you and your relative that allows them to immigrate to the United States. Generally, after we approve the petition, your relative may apply for a Green Card. If your relative is already in the United States and an immigrant visa is available, they may be eligible to apply for their Green Card by filing Form I-485, Application to Register Permanent Residence or Adjust Status. Certain relatives must wait until an immigrant visa number is available before they can file Form I-485 (to adjust their status if they are in the United States) or request an immigrant visa at an embassy or consulate through consular processing (if they are outside the United States). However, if your relative qualifies as an immediate relative, an immigrant visa is always available. If your relative is already in the United States but they are not eligible to apply for the Green Card by filing Form I-485, the relative may be eligible to apply for an immigrant visa with the U.S. Department of State at a U.S. embassy or consulate through consular processing. For more information on eligibility and the process to apply for a Green Card, please visit our Green Card Eligibility Categories page. When you complete Form I-130, please make sure that you (the petitioner) select 1 and only 1 option indicating whether the beneficiary requests adjustment of status inside the United States or consular processing outside the United States. If the Form I-130 is still pending with USCIS and you want to change your selection (either to consular processing outside the United States or to adjustment of status in the United States), you may contact the USCIS Contact Center and request a change. If you want to change your selection to consular processing after we have already approved your petition, you may need to file Form I-824, Application for Action on an Approved Application or Petition. How to Report Suspected Marriage Fraud: We encourage you to report suspected immigration benefit fraud and abuse, including marriage fraud. For more information, please visit our Reporting Fraud page. Help for victims of abuse If you are the spouse, child, or parent of a U.S. citizen who has abused you, or the spouse or child of a lawful permanent resident who has abused you, you may be eligible to file a petition for yourself independent from your U.S. citizen or lawful permanent resident abuser. For more information, go to the Abused Spouses, Children, and Parents (Form I-360 VAWA Self-Petitioners) webpage.",i-130.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-130.pdf,"{'i-130a.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-130a.pdf', 'i-130instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-130instr.pdf'}"
I-131,Application for Travel Document,https://www.uscis.gov/i-131,False,,"ALERT: On Feb. 27, 2024, we announced a process for eligible Ukrainian citizens and their immediate family members to apply for re-parole so they can continue to temporarily remain in the United States. We encourage eligible Ukrainian citizens and their immediate family members to submit their re-parole requests to us no earlier than 180 days (6 months) before the expiration of their current period of parole. You can find your parole expiration date on your Form I-94, Arrival/Departure Record, issued by U.S. Customs and Border Protection when you were paroled into the United States. Filing during this window reduces the risk that your current period of parole and employment authorization will expire before you receive a decision on your re-parole request. If you submit a request for re-parole more than 180 days before the expiration of your current period of parole, we may reject or deny your re-parole application without refunding the filing fees. Please note that filing earlier than 180 days before your current parole expiration date will not result in a faster decision. ALERT: Beginning July 1, 2022, we will issue a new travel authorization document to Temporary Protected Status (TPS) beneficiaries: Form I-512T, Authorization for Travel by a Noncitizen to the United States, at our discretion if we find the beneficiary merits this authorization. We will no longer issue advance parole documents as evidence of our prior authorization for a TPS beneficiary to be permitted to reenter the United States if the beneficiary travels outside the United States. Beginning July 1, 2022, we will issue a new travel authorization document to Temporary Protected Status (TPS) beneficiaries: Form I-512T, Authorization for Travel by a Noncitizen to the United States, at our discretion if we find the beneficiary merits this authorization. We will no longer issue advance parole documents as evidence of our prior authorization for a TPS beneficiary to be permitted to reenter the United States if the beneficiary travels outside the United States. If you are a TPS beneficiary with an existing, unexpired advance parole document, you may continue to travel and seek reentry to the United States after a trip outside the United States through the period of validity printed on your advance parole document. If you are a TPS beneficiary applying for a new travel authorization document, you should continue to use Form I-131, Application for Travel Document. If you have a pending Form I-131, you do not need to file a new application. We will continue to issue advance parole documents to noncitizens with pending initial applications for TPS (Form I-821). TPS beneficiaries and individuals with pending initial TPS applications should carefully read the Form I-131 Instructions which contain warnings about certain risks an individual may face if they are outside of the United States while USCIS is considering their TPS reregistration or initial application, such as missing important request for evidence or other notices or being denied TPS while outside the United States. ALERT: Court decisions regarding DACA. On Sept. 13, 2023, the U.S. District Court for the Southern District of Texas issued a decision finding the DACA Final Rule unlawful and expanding the original July 16, 2021, injunction and order of vacatur to cover the Final Rule. However, the court maintained a partial stay of the order for “all DACA recipients who received their initial DACA status prior to July 16, 2021.” See the Memorandum and Order (PDF, 1.35 MB) and Supplemental Order of Injunction (PDF, 72.53 KB). Accordingly, current grants of DACA and related Employment Authorization Documents (EADs) remain valid until they expire, unless individually terminated. In accordance with this decision, USCIS will continue to accept and process DACA renewal requests and accompanying applications for employment authorization under the DACA regulations at 8 CFR 236.22 and 236.23, as it has since October 31, 2022. We will also continue to accept initial DACA requests, but in accordance with the District Court’s order, we will not process initial DACA requests. Current valid grants of DACA and related EADs will continue to be recognized as valid under the Final Rule. This means that individuals with DACA and related EADs do not have to submit a request for DACA or employment authorization until the appropriate time to seek renewal. Please see the DACA Litigation Information Page for important updates and information related to court rulings on the DACA policy. Use this form to apply for a reentry permit, refugee travel document, TPS travel authorization document, advance parole document (including parole into the United States for urgent humanitarian reasons or significant public benefit), or advance permission to travel for Commonwealth of the Northern Mariana Islands (CNMI) long-term residents. For information on travel documents, including potential immigration-related consequences of traveling outside the United States, see our Travel Documents page. If you are in the United States and you have an urgent need to travel outside the United States, see our Expedite Requests page and Emergency Travel page. If you file this form to request an Advance Parole Document authorizing you to seek parole in the United States when you return to the United States after temporary travel abroad, and you depart the United States before we issue your Advance Parole Document, we will consider your Form I-131 abandoned unless you were previously issued an Advance Parole Document that remains valid for the entire time you are outside the United States. If you file this form to request an advance permission to travel for CNMI long-term residents document, and you leave the CNMI without having an advance permission to travel document, your status will automatically terminate.",i-131.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-131.pdf,{'i-131instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-131instr.pdf'}
I-131A,Application for Carrier Documentation,https://www.uscis.gov/i-131a,False,,"Use this form if you are: Form I-131A allows you to apply for a travel document if you are: We measure the length of your absence from the time you departed the United States to the time you pay the Form I-131A fee. If you are an LPR, you must have been an LPR when you left the United States and still be an LPR when you return to the United States. If you abandoned your LPR status or if we terminated it, do not file Form I-131A. If you are an LPR with an expired Green Card or are traveling with a child under 2 years old, please read the Special Instructions section below to determine whether you need to file Form I-131A. If you were issued a Form I-512T, Advance Parole Document, please read the Special Instructions section below for guidance about how to complete the Form I-131A. Pay Online",i-131a.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-131a.pdf,{'i-131ainstr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-131ainstr.pdf'}
I-134,Declaration of Financial Support,https://www.uscis.gov/i-134,False,,Use this form to agree to provide financial support to a beneficiary of certain immigration benefits for the duration of their temporary stay in the United States. You must file a separate Form I-134 for each beneficiary.,i-134.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-134.pdf,{'i-134instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-134instr.pdf'}
I-140,Immigrant Petition for Alien Workers,https://www.uscis.gov/i-140,False,,"ALERT: If you are concurrently filing a Form I-140 and Form I-485, do not combine your supporting documents. Clearly separate each package using fasteners or heavy clips to hold together each set. We recommend assembling each form package in the following order: For additional information visit: Tips for Filing Forms by Mail ALERT: At intake, we determine whether the payment you submitted matches the correct fees due. If you do not submit the correct fee, we must reject your form, even if you have submitted an overpayment. The required fees for Form I-129, Form I-129CW, and Form I-140 depend on how you answer the form’s questions about your status as a nonprofit or small employer. See our Web Alert for more information: USCIS Reminds Certain Employment-Based Petitioners to Submit the Correct Required Fees. You can find additional filing fee information by visiting our Filing Fees page, our G-1055, Fee Schedule, and our Frequently Asked Questions on the USCIS Fee Rule page. ALERT: We expanded premium processing services to include certain previously filed and newly filed Form I-140 petitions requesting E13 classification for multinational executives and managers and E21 national interest waiver (NIW) classification. Please see the How Do I Request Premium Processing page for additional information. Use this form to petition for a noncitizen worker to become a permanent resident in the United States.",i-140.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-140.pdf,{'i-140instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-140instr.pdf'}
I-191,Application for Relief Under Former Section 212(c) of the Immigration and Nationality Act (INA),https://www.uscis.gov/i-191,False,,"Use this form if you are a lawful permanent resident and wish to file for relief under former INA section 212(c). Congress repealed former INA section 212(c) effective April 1, 1997. However, the U.S. Supreme Court decided in 2001 that the repeal does not apply to lawful permanent residents who pleaded guilty to a crime before April 1, 1997 (INS v. St. Cyr, 533 U.S. 289). In Matter of Abdelghany, 26 I&N Dec. 254 (BIA 2014), the Board of Immigration Appeals held that relief under former INA section 212(c) is also available to otherwise eligible lawful permanent residents, even if they were convicted following a trial before April 1, 1997. This form was previously titled, “Application for Advance Permission to Return to Unrelinquished Domicile.”",i-191.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-191.pdf,{'i-191instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-191instr.pdf'}
I-192,Application for Advance Permission to Enter as a Nonimmigrant,https://www.uscis.gov/i-192,False,,"ALERT: USCIS is working with U.S. Customs and Border Protection and the Department of State to more efficiently facilitate certain employment-based nonimmigrant visas for eligible noncitizens who have graduated from an accredited U.S. institution of higher education. For more information on the process to obtain a 212(d)(3) waiver, please see the DOS Foreign Affairs Manual, Volume 9 and the DOS Easing the Nonimmigrant Visa Process for U.S. College Graduates page. Use this form if you want to apply for advance permission to temporarily enter the United States and you are an: If you are seeking admission under the Visa Waiver Program (VWP) under INA section 217, you cannot file this form. Instead, you must apply for a nonimmigrant visa at a U.S. Embassy or Consulate for authorization to travel. You should contact the appropriate U.S. Embassy or Consulate if you have any questions regarding your admissibility under the VWP.",i-192.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-192.pdf,{'i-192instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-192instr.pdf'}
I-193,Application for Waiver of Passport and/or Visa,https://www.uscis.gov/i-193,False,,For an alien who is a legal resident of the United States to reenter the United States without the alien's passport and/or visa.,i-193.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-193.pdf,{}
I-212,Application for Permission to Reapply for Admission into the United States After Deportation or Removal,https://www.uscis.gov/i-212,False,,"If you are inadmissible under sections 212(a)(9)(A) or (C) of the Immigration and Nationality Act (INA), use this form to ask for consent to reapply for admission to the United States so you can lawfully return to the United States. Consent to reapply is also called “permission to reapply.”",i-212.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-212.pdf,{'i-212instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-212instr.pdf'}
I-290B,Notice of Appeal or Motion,https://www.uscis.gov/i-290b,False,,Use this form to file: Do not use this form if you:,i-290b.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-290b.pdf,{'i-290binstr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-290binstr.pdf'}
I-356,Request for Cancellation of Public Charge Bond,https://www.uscis.gov/i-356,False,,"This form should be used to request cancellation of a public charge bond that was submitted on behalf of a noncitizen on Form I-945, Public Charge Bond. Form I-356 can be submitted to request cancellation of the public charge bond by the noncitizen on whose behalf the public charge bond was posted, the noncitizen’s attorney or accredited representative, if any, or, if the noncitizen is deceased, the executor of the noncitizen’s estate. Form I-356 can also be filed by the obligor (the person who posted the bond for the noncitizen) or the obligor’s authorized agent (co-obligor, for surety companies only). For more information about public charge bonds, please see the USCIS Policy Manual, Volume 8, Part G, Public Charge Ground of Inadmissibility.",i-356.pdf,https://www.uscis.gov/sites/default/files/document/forms/i-356.pdf,{'i-356instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/i-356instr.pdf'}
